YearWeek,temp_mean_C,temp_max_C,temp_min_C,rain_sum,sunshine_duration,daylight_duration,wind_speed_max,et0_evapotranspiration,District_anuradhapura,District_badulla,District_batticaloa,District_colombo,District_galle,District_gampaha,District_hambantota,District_jaffna,District_kalmunai,District_kalutara,District_kandy,District_kegalle,District_kilinochchi,District_kurunegala,District_mannar,District_matale,District_matara,District_monaragala,District_mullaitivu,District_nuwara eliya,District_polonnaruwa,District_puttalam,District_ratnapura,District_trincomalee,District_vavuniya,risk_level
2022-W03,23.243,30.9,17.299999999999997,0.8,76.24381388888888,82.33706388888889,20.6,33.92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,25.143,32.8,17.8,3.1,76.20312777777778,82.33706388888889,17.0,37.07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,24.743,29.9,18.2,2.0,75.20136388888888,81.60546944444445,21.7,31.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W03,25.671,33.7,17.299999999999997,1.7,75.90166388888889,82.26420833333334,20.4,36.74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-W03,25.929,31.0,18.9,2.0,75.46381944444444,81.75238055555556,26.1,34.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2022-W03,23.9,31.4,17.299999999999997,1.2,76.04016111111112,82.26420833333334,17.7,34.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-W03,25.629,29.0,21.2,3.3,75.98743611111112,82.79714722222222,25.3,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-W03,25.271,28.5,19.6,3.7,75.19421388888888,81.65447777777777,20.6,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-W03,21.6495,24.2,17.299999999999997,4.8,75.61628055555555,82.4341,13.7,28.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-W03,24.686,31.5,18.4,5.1,75.39393055555556,82.11831666666667,17.3,31.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-W03,25.529,31.6,18.4,1.8,74.55094166666667,82.06963055555555,20.0,33.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2022-W03,25.4,29.5,19.4,3.0,75.18769999999999,81.898975,19.9,31.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2022-W03,24.557,31.1,17.4,1.1,75.41126388888888,81.82570833333332,20.0,31.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022-W04,24.7,30.1,19.0,5.1,75.39605,82.5485861111111,15.7,29.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,25.129,31.8,19.8,4.8,75.07861111111112,82.21600277777777,18.5,28.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W04,21.6495,26.5,17.299999999999997,8.0,74.28935,82.63704166666666,14.0,28.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W04,25.371,29.2,21.2,17.7,74.6468861111111,82.41573055555556,18.1,29.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,26.043,32.3,21.2,7.2,76.22484722222222,82.65913888888889,18.5,32.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,25.6,30.3,21.7,7.6,76.57815000000001,82.92391388888889,14.9,30.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,26.514,34.6,21.0,4.2,76.40546666666667,82.6149388888889,18.6,33.81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,26.471,31.8,22.1,6.0,75.8144,82.90187777777778,24.9,34.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W04,26.086,29.8,23.2,10.1,70.58963888888889,81.79242222222221,26.0,29.31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W04,25.629,28.4,21.7,8.8,74.62948055555556,82.50432222222223,19.0,29.27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,25.8,31.1,21.2,5.5,76.33000277777778,82.76955277777778,14.9,32.32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,23.557,30.4,17.299999999999997,3.2,73.42459722222222,82.5485861111111,20.5,31.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,25.314,32.4,19.0,2.8,74.16270833333333,82.5485861111111,17.5,33.52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W04,25.229,30.3,20.6,11.9,71.09869166666667,81.88183333333333,22.4,27.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W04,25.9,33.3,19.3,4.2,74.47092222222223,82.48218888888889,18.3,33.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-W04,26.529,32.3,22.0,8.4,74.65684999999999,82.01571111111112,27.6,32.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2022-W04,24.4,31.3,17.6,2.6,74.29223333333333,82.48218888888889,15.9,32.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-W04,25.857,28.0,22.5,2.7,76.62555555555555,82.96796944444445,28.7,30.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-W04,25.443,28.5,22.4,23.5,71.83592777777778,81.92649166666666,21.4,27.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-W04,21.6495,24.2,17.299999999999997,2.6,75.18744166666666,82.63704166666666,11.3,27.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-W04,25.143,31.3,20.1,9.8,72.1363638888889,82.3492111111111,14.7,28.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-W04,25.929,31.7,21.0,7.2,74.08545277777777,82.30484166666666,19.5,30.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2022-W04,25.557,29.8,21.9,14.1,73.74281111111111,82.14930555555556,19.6,28.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-W04,24.886,31.6,20.3,6.6,73.74939166666667,82.08254444444444,18.1,27.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022-W05,25.057,30.9,20.3,1.5,74.6563,82.7955361111111,15.1,32.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,25.386,32.4,19.2,0.6,77.00899722222222,82.50053333333332,15.6,35.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W05,21.6495,27.5,17.299999999999997,8.9,72.2289,82.87400000000001,12.3,30.49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,25.757,29.4,20.9,7.7,75.6378,82.6776861111111,16.8,33.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,25.671,30.9,20.9,10.0,76.26273055555556,82.89360555555555,18.4,31.68,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,25.929,30.2,22.2,8.6,75.10521944444444,83.12849999999999,14.1,31.51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,26.271,34.7,20.5,7.1,76.18488611111111,82.85439444444445,17.7,34.07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,27.114,33.6,23.2,4.6,76.75708055555555,83.10894722222223,27.7,39.14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,25.686,30.2,20.2,1.5,76.6297861111111,82.12488611111112,17.4,33.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,26.186,28.6,22.0,5.7,75.86876388888889,82.756275,16.8,33.19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,25.886,30.3,20.7,11.9,76.00512222222223,82.99155277777778,17.4,31.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,24.214,32.0,17.299999999999997,1.2,77.43509722222221,82.7955361111111,18.8,36.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,25.729,33.6,19.2,4.7,77.07664722222222,82.7955361111111,16.3,37.26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,24.886,30.1,19.7,0.1,76.60965555555556,82.20417777777777,17.1,32.66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,26.329,34.7,18.3,1.5,77.39195000000001,82.73663611111111,19.1,38.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,26.343,32.5,19.2,0.6,77.00098333333332,82.3229,24.5,38.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2022-W05,24.671,32.7,17.299999999999997,1.2,77.43080833333333,82.73663611111111,15.8,37.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-W05,26.3,29.6,23.2,12.5,75.98684166666666,83.16759166666667,26.9,33.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-W05,25.729,28.8,20.9,0.6,76.4611,82.24378055555555,15.7,32.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-W05,21.6495,24.2,17.299999999999997,6.5,76.18309722222223,82.87400000000001,11.5,29.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2022-W05,25.429,32.3,20.2,0.6,76.17601666666665,82.61869166666666,15.4,33.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-W05,25.871,32.5,20.4,0.9,77.23964444444444,82.57933055555556,20.7,35.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-W05,25.929,29.9,21.2,0.6,76.62363888888888,82.44137777777779,15.7,33.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-W05,24.9,32.3,18.7,0.1,76.85797500000001,82.38217222222222,17.4,33.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-W06,24.9,30.1,22.1,92.8,56.18304166666667,83.0655,19.8,23.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W06,24.414,31.3,20.5,69.7,45.78155,82.8114138888889,17.7,22.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W06,21.6495,26.2,17.3,73.2,46.29805833333334,83.13309444444445,13.1,20.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
