YearWeek,WeekStartDate,WeekEndDate,Cases,temp_mean_C,temp_max_C,temp_min_C,precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm),District_ampara,District_anuradhapura,District_badulla,District_batticaloa,District_colombo,District_galle,District_gampaha,District_hambantota,District_jaffna,District_kalmunai,District_kalutara,District_kandy,District_kegalle,District_kilinochchi,District_kurunegala,District_mannar,District_matale,District_matara,District_monaragala,District_mullaitivu,District_nuwara eliya,District_polonnaruwa,District_puttalam,District_ratnapura,District_trincomalee,District_vavuniya
2022-W02,2022-01-10,2022-01-16,138,26.186,32.0,22.7,12.0,12.0,245787.49,294740.47,19.0,27.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-W02,2022-01-10,2022-01-16,24,26.2,29.1,23.6,26.6,26.6,237793.65,294080.3,21.6,24.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-W02,2022-01-10,2022-01-16,8,25.129,30.2,21.2,13.0,13.0,231420.03,293796.92,18.8,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W03,2022-01-17,2022-01-23,8,24.386,30.5,18.2,5.4,5.4,273206.15,296413.43,17.1,31.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,9,24.771,31.3,18.9,0.6,0.6,271853.86,295099.77,19.1,31.86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,25,21.0,26.8,13.7,13.9,13.9,261868.59,296762.76,14.6,28.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,26,24.957,28.8,19.4,9.6,9.6,271670.65,295888.68,20.1,30.73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,411,26.057,33.1,18.2,5.8,5.8,273294.47,296850.04,22.3,35.52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,83,25.343,29.2,20.7,8.9,8.9,274939.83,297895.73,14.6,30.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W03,2022-01-17,2022-01-23,305,26.457,33.7,18.1,5.4,5.4,272901.14,296675.46,19.7,36.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
